Year,Depth,Area,Catchment,ResTime,TP,DOC,SD,SD_Summer,MinWeek,MaxWeek 
1991,3.2,1.4,51.9,0.1,NaN,NaN,0.8,0.8,NaN,28.0 
1992,3.2,1.4,51.9,0.1,207.0,NaN,0.8,0.4,13.0,21.0 
1993,3.2,1.4,51.9,0.1,165.0,12.6,0.9,0.7,13.0,19.0 
1994,3.2,1.4,51.9,0.1,116.0,11.3,0.7,0.5,12.0,21.0 
1995,3.2,1.4,51.9,0.1,130.0,9.3,0.7,0.5,NaN,23.0 
1996,3.2,1.4,51.9,0.1,79.0,9.9,0.5,0.5,NaN,17.0 
1997,3.2,1.4,51.9,0.1,226.0,14.2,0.7,0.6,12.0,24.0 
1998,3.2,1.4,51.9,0.1,80.0,8.7,0.7,0.5,9.0,15.0 
1999,3.2,1.4,51.9,0.1,183.0,12.4,0.6,0.3,10.0,15.0 
2000,3.2,1.4,51.9,0.1,65.0,12.2,0.7,0.4,NaN,20.0 
2001,3.2,1.4,51.9,0.1,50.0,12.6,0.9,0.5,12.0,20.0 
2002,3.2,1.4,51.9,0.1,92.0,15.2,0.6,0.6,14.0,15.0 
2003,3.2,1.4,51.9,0.1,401.0,15.5,0.4,0.3,NaN,16.0 
2004,3.2,1.4,51.9,0.1,75.0,13.0,0.6,0.4,NaN,18.0 
2005,3.2,1.4,51.9,0.1,64.0,11.5,0.8,0.5,7.0,15.0 
2006,3.2,1.4,51.9,0.1,104.0,15.5,0.6,0.3,NaN,15.0 
2007,3.2,1.4,51.9,0.1,209.0,NaN,0.4,0.2,NaN,17.0 
2008,3.2,1.4,51.9,0.1,83.0,13.0,0.4,0.2,NaN,17.0 
2009,3.2,1.4,51.9,0.1,186.0,NaN,0.4,0.2,NaN,15.0 
2010,3.2,1.4,51.9,0.1,172.0,NaN,0.4,0.2,NaN,15.0 
2011,3.2,1.4,51.9,0.1,140.0,12.0,0.3,0.3,NaN,17.0 
2012,3.2,1.4,51.9,0.1,100.0,11.0,0.4,0.3,NaN,21.0 
2013,3.2,1.4,51.9,0.1,220.0,13.0,0.3,0.2,NaN,21.0 
2014,3.2,1.4,51.9,0.1,410.0,13.0,NaN,NaN,NaN,NaN 
2015,3.2,1.4,51.9,0.1,140.0,11.0,0.4,0.2,NaN,19.0 
2016,3.2,1.4,51.9,0.1,110.0,16.0,0.3,0.2,NaN,NaN 
2017,3.2,1.4,51.9,0.1,100.0,NaN,0.3,0.2,NaN,21.0 
2018,3.2,1.4,51.9,0.1,170.0,16.0,0.3,0.1,NaN,16.0 
2019,3.2,1.4,51.9,0.1,150.0,15.0,0.4,0.3,NaN,25.0 
2020,3.2,1.4,51.9,0.1,93.0,11.0,1.1,1.0,NaN,22.0 
2021,3.2,1.4,51.9,0.1,250.0,14.0,1.0,0.6,NaN,19.0 
2022,3.2,1.4,51.9,0.1,330.0,13.0,0.7,0.4,NaN,16.0 
2023,3.2,1.4,51.9,0.1,210.0,15.0,0.6,0.3,NaN,17.0 
2024,3.2,1.4,51.9,0.1,130.0,13.0,0.8,NaN,NaN,18.0 
1991,1.6,0.1,2.4,0.2,NaN,NaN,0.5,0.5,NaN,17.0 
1992,1.6,0.1,2.4,0.2,218.0,NaN,0.5,0.4,NaN,15.0 
1993,1.6,0.1,2.4,0.2,210.0,12.0,0.5,0.5,12.0,24.0 
1994,1.6,0.1,2.4,0.2,138.0,9.0,0.7,0.5,14.0,15.0 
1995,1.6,0.1,2.4,0.2,140.0,12.0,0.6,0.5,13.0,15.0 
1996,1.6,0.1,2.4,0.2,123.0,13.0,0.6,0.3,NaN,16.0 
1997,1.6,0.1,2.4,0.2,109.0,12.0,0.5,0.4,13.0,15.0 
1998,1.6,0.1,2.4,0.2,69.0,12.0,0.5,0.3,14.0,15.0 
1999,1.6,0.1,2.4,0.2,126.0,9.0,0.5,0.3,6.0,16.0 
2000,1.6,0.1,2.4,0.2,36.0,12.0,0.6,0.3,14.0,15.0 
2001,1.6,0.1,2.4,0.2,92.0,11.0,0.6,0.3,10.0,16.0 
2002,1.6,0.1,2.4,0.2,110.0,12.0,0.6,0.3,8.0,15.0 
2003,1.6,0.1,2.4,0.2,113.0,17.0,0.5,0.2,NaN,15.0 
2004,1.6,0.1,2.4,0.2,100.0,14.0,NaN,NaN,NaN,NaN 
2005,1.6,0.1,2.4,0.2,172.0,14.0,NaN,NaN,NaN,NaN 
2006,1.6,0.1,2.4,0.2,127.0,15.0,0.3,0.2,NaN,17.0 
2007,1.6,0.1,2.4,0.2,NaN,NaN,0.3,0.3,14.0,15.0 
2008,1.6,0.1,2.4,0.2,NaN,11.0,0.2,0.1,11.0,15.0 
2009,1.6,0.1,2.4,0.2,NaN,NaN,0.3,0.2,12.0,15.0 
2010,1.6,0.1,2.4,0.2,NaN,NaN,0.4,0.2,NaN,16.0 
2011,1.6,0.1,2.4,0.2,210.0,10.0,0.4,0.2,12.0,16.0 
2012,1.6,0.1,2.4,0.2,120.0,11.0,0.3,0.2,13.0,15.0 
2013,1.6,0.1,2.4,0.2,130.0,12.0,0.3,0.2,NaN,15.0 
2014,1.6,0.1,2.4,0.2,90.0,13.0,0.3,0.2,13.0,15.0 
2015,1.6,0.1,2.4,0.2,120.0,11.0,0.4,0.2,14.0,15.0 
2016,1.6,0.1,2.4,0.2,110.0,13.0,0.4,0.2,NaN,15.0 
2017,1.6,0.1,2.4,0.2,100.0,11.0,0.5,0.3,12.0,15.0 
2018,1.6,0.1,2.4,0.2,86.0,11.0,0.4,0.2,NaN,24.0 
2019,1.6,0.1,2.4,0.2,71.0,14.0,0.5,0.3,9.0,15.0 
2020,1.6,0.1,2.4,0.2,94.0,12.0,0.5,0.3,11.0,15.0 
2021,1.6,0.1,2.4,0.2,53.0,12.0,0.4,0.2,14.0,15.0 
2022,1.6,0.1,2.4,0.2,83.0,12.0,0.2,0.1,9.0,15.0 
2023,1.6,0.1,2.4,0.2,120.0,14.0,0.2,0.1,8.0,15.0 
2024,1.6,0.1,2.4,0.2,63.0,11.0,0.2,0.1,9.0,15.0 
1991,14.3,3.8,165.6,1.0,NaN,NaN,2.5,2.1,NaN,25.0 
1992,14.3,3.8,165.6,1.0,185.0,NaN,2.8,1.6,14.0,21.0 
1993,14.3,3.8,165.6,1.0,161.0,3.7,2.6,1.8,11.0,20.0 
1994,14.3,3.8,165.6,1.0,98.0,5.1,2.8,2.0,6.0,20.0 
1995,14.3,3.8,165.6,1.0,83.0,5.5,2.4,1.6,NaN,23.0 
1996,14.3,3.8,165.6,1.0,69.0,6.3,2.9,2.2,NaN,24.0 
1997,14.3,3.8,165.6,1.0,116.0,5.3,3.1,1.9,14.0,22.0 
1998,14.3,3.8,165.6,1.0,106.0,6.5,2.5,1.7,14.0,20.0 
1999,14.3,3.8,165.6,1.0,76.0,8.3,2.0,1.8,NaN,21.0 
2000,14.3,3.8,165.6,1.0,89.0,8.5,2.7,1.6,NaN,19.0 
2001,14.3,3.8,165.6,1.0,85.0,6.0,2.3,2.0,NaN,22.0 
2002,14.3,3.8,165.6,1.0,97.0,7.9,1.8,1.2,NaN,20.0 
2003,14.3,3.8,165.6,1.0,89.0,7.3,1.7,1.6,NaN,15.0 
2004,14.3,3.8,165.6,1.0,63.0,7.1,1.8,1.5,NaN,21.0 
2005,14.3,3.8,165.6,1.0,96.0,7.3,1.7,1.6,NaN,22.0 
2006,14.3,3.8,165.6,1.0,49.0,4.2,2.2,2.1,NaN,22.0 
2007,14.3,3.8,165.6,1.0,NaN,NaN,2.0,1.4,NaN,20.0 
2008,14.3,3.8,165.6,1.0,52.0,7.0,2.0,1.7,NaN,20.0 
2009,14.3,3.8,165.6,1.0,192.0,NaN,2.2,1.9,NaN,19.0 
2010,14.3,3.8,165.6,1.0,NaN,NaN,2.2,2.4,NaN,24.0 
2011,14.3,3.8,165.6,1.0,80.0,6.4,2.0,1.8,NaN,23.0 
2012,14.3,3.8,165.6,1.0,100.0,6.5,2.5,2.1,NaN,21.0 
2013,14.3,3.8,165.6,1.0,66.0,6.8,2.0,1.7,NaN,23.0 
2014,14.3,3.8,165.6,1.0,100.0,7.1,2.4,2.2,NaN,23.0 
2015,14.3,3.8,165.6,1.0,84.0,6.8,2.8,2.7,NaN,23.0 
2016,14.3,3.8,165.6,1.0,77.0,7.4,2.1,1.8,NaN,21.0 
2017,14.3,3.8,165.6,1.0,92.0,7.4,2.5,2.3,NaN,20.0 
2018,14.3,3.8,165.6,1.0,80.0,6.9,1.7,1.6,NaN,21.0 
2019,14.3,3.8,165.6,1.0,86.0,6.8,2.3,2.0,NaN,21.0 
2020,14.3,3.8,165.6,1.0,77.0,6.7,2.6,2.7,NaN,20.0 
2021,14.3,3.8,165.6,1.0,66.0,6.6,3.2,3.2,NaN,22.0 
2022,14.3,3.8,165.6,1.0,75.0,6.7,2.5,2.4,NaN,25.0 
2023,14.3,3.8,165.6,1.0,110.0,6.7,2.8,2.7,NaN,16.0 
2024,14.3,3.8,165.6,1.0,73.0,6.6,2.2,2.2,NaN,16.0 
1991,18.4,3.2,23.0,2.4,NaN,NaN,2.1,1.2,NaN,NaN 
1992,18.4,3.2,23.0,2.4,62.0,NaN,1.9,1.2,NaN,20.0 
1993,18.4,3.2,23.0,2.4,57.0,7.2,NaN,NaN,NaN,NaN 
1994,18.4,3.2,23.0,2.4,123.0,7.9,1.9,1.5,NaN,27.0 
1995,18.4,3.2,23.0,2.4,94.0,6.3,1.9,1.4,NaN,22.0 
1996,18.4,3.2,23.0,2.4,57.0,7.3,1.6,1.2,NaN,22.0 
1997,18.4,3.2,23.0,2.4,82.0,8.0,1.4,1.1,NaN,21.0 
1998,18.4,3.2,23.0,2.4,61.0,8.0,1.0,0.7,NaN,15.0 
1999,18.4,3.2,23.0,2.4,80.0,8.1,1.0,0.9,NaN,15.0 
2000,18.4,3.2,23.0,2.4,NaN,NaN,0.7,0.7,NaN,19.0 
2001,18.4,3.2,23.0,2.4,NaN,NaN,NaN,NaN,NaN,NaN 
2002,18.4,3.2,23.0,2.4,65.0,9.7,NaN,NaN,NaN,NaN 
2003,18.4,3.2,23.0,2.4,NaN,NaN,NaN,NaN,NaN,NaN 
2004,18.4,3.2,23.0,2.4,75.0,7.0,NaN,NaN,NaN,NaN 
2005,18.4,3.2,23.0,2.4,214.0,10.5,1.1,1.0,NaN,20.0 
2006,18.4,3.2,23.0,2.4,217.0,10.3,1.1,0.9,NaN,19.0 
2007,18.4,3.2,23.0,2.4,NaN,NaN,0.9,0.9,NaN,18.0 
2008,18.4,3.2,23.0,2.4,74.0,8.1,0.9,0.9,NaN,19.0 
2009,18.4,3.2,23.0,2.4,90.0,NaN,1.0,0.9,NaN,19.0 
2010,18.4,3.2,23.0,2.4,158.0,NaN,1.0,1.0,NaN,24.0 
2011,18.4,3.2,23.0,2.4,125.0,7.0,0.9,0.8,NaN,17.0 
2012,18.4,3.2,23.0,2.4,NaN,NaN,1.0,0.9,NaN,16.0 
2013,18.4,3.2,23.0,2.4,NaN,NaN,1.1,1.0,NaN,20.0 
2014,18.4,3.2,23.0,2.4,NaN,NaN,0.9,0.8,NaN,21.0 
2015,18.4,3.2,23.0,2.4,NaN,NaN,1.0,0.9,NaN,17.0 
2016,18.4,3.2,23.0,2.4,NaN,NaN,0.8,0.8,NaN,21.0 
2017,18.4,3.2,23.0,2.4,NaN,NaN,0.8,0.7,NaN,21.0 
2018,18.4,3.2,23.0,2.4,NaN,NaN,1.0,0.9,NaN,23.0 
2019,18.4,3.2,23.0,2.4,NaN,NaN,0.9,0.9,NaN,24.0 
2020,18.4,3.2,23.0,2.4,NaN,NaN,1.1,0.8,NaN,18.0 
2021,18.4,3.2,23.0,2.4,NaN,NaN,0.5,NaN,NaN,NaN 
2022,18.4,3.2,23.0,2.4,NaN,NaN,2.5,2.2,NaN,22.0 
2023,18.4,3.2,23.0,2.4,NaN,NaN,3.1,2.6,NaN,23.0 
2024,18.4,3.2,23.0,2.4,NaN,NaN,NaN,NaN,NaN,NaN 
1991,18.4,3.2,23.0,2.4,NaN,NaN,1.6,1.3,NaN,20.0 
1992,18.4,3.2,23.0,2.4,NaN,NaN,1.6,1.0,NaN,19.0 
1993,18.4,3.2,23.0,2.4,50.0,4.6,1.8,1.6,NaN,18.0 
1994,18.4,3.2,23.0,2.4,94.0,7.0,1.6,1.0,NaN,20.0 
1995,18.4,3.2,23.0,2.4,119.0,7.9,1.2,1.0,NaN,NaN 
1996,18.4,3.2,23.0,2.4,51.0,7.2,1.1,1.0,NaN,22.0 
1997,18.4,3.2,23.0,2.4,114.0,7.5,1.0,0.8,NaN,21.0 
1998,18.4,3.2,23.0,2.4,77.0,10.6,0.8,0.7,NaN,19.0 
1999,18.4,3.2,23.0,2.4,81.0,9.3,1.0,0.8,NaN,19.0 
2000,18.4,3.2,23.0,2.4,45.0,NaN,0.9,0.7,NaN,20.0 
2001,18.4,3.2,23.0,2.4,71.0,8.0,1.0,0.8,NaN,20.0 
2002,18.4,3.2,23.0,2.4,65.0,8.2,1.0,0.8,NaN,20.0 
2003,18.4,3.2,23.0,2.4,67.0,7.6,1.2,1.0,NaN,20.0 
2004,18.4,3.2,23.0,2.4,54.0,8.4,1.1,0.9,NaN,20.0 
2005,18.4,3.2,23.0,2.4,70.0,9.7,1.0,0.9,NaN,20.0 
2006,18.4,3.2,23.0,2.4,85.0,6.2,1.0,0.9,NaN,24.0 
2007,18.4,3.2,23.0,2.4,NaN,NaN,1.0,0.8,NaN,19.0 
2008,18.4,3.2,23.0,2.4,59.0,7.9,0.8,0.7,NaN,20.0 
2009,18.4,3.2,23.0,2.4,90.0,NaN,0.9,0.9,NaN,27.0 
2010,18.4,3.2,23.0,2.4,108.0,7.1,1.0,1.0,NaN,17.0 
2011,18.4,3.2,23.0,2.4,100.0,NaN,0.8,0.7,NaN,22.0 
2012,18.4,3.2,23.0,2.4,NaN,NaN,0.9,0.8,NaN,22.0 
2013,18.4,3.2,23.0,2.4,NaN,NaN,1.0,0.9,NaN,22.0 
2014,18.4,3.2,23.0,2.4,NaN,NaN,0.8,0.7,NaN,22.0 
2015,18.4,3.2,23.0,2.4,59.0,NaN,0.8,0.8,NaN,23.0 
2016,18.4,3.2,23.0,2.4,NaN,NaN,0.9,0.8,NaN,23.0 
2017,18.4,3.2,23.0,2.4,NaN,NaN,0.8,0.8,NaN,22.0 
2018,18.4,3.2,23.0,2.4,NaN,NaN,0.8,0.8,NaN,23.0 
2019,18.4,3.2,23.0,2.4,NaN,NaN,1.0,0.7,NaN,19.0 
2020,18.4,3.2,23.0,2.4,NaN,NaN,1.0,0.7,NaN,19.0 
2021,18.4,3.2,23.0,2.4,NaN,NaN,1.8,1.5,NaN,23.0 
2022,18.4,3.2,23.0,2.4,NaN,NaN,2.6,2.3,NaN,19.0 
2023,18.4,3.2,23.0,2.4,NaN,NaN,3.4,NaN,NaN,21.0 
2024,18.4,3.2,23.0,2.4,NaN,NaN,3.1,3.1,NaN,19.0 
1991,9.7,0.1,0.2,10.2,NaN,NaN,1.8,1.6,NaN,28.0 
1992,9.7,0.1,0.2,10.2,138.0,NaN,2.5,NaN,NaN,NaN 
1993,9.7,0.1,0.2,10.2,129.0,5.4,2.7,2.5,14.0,21.0 
1994,9.7,0.1,0.2,10.2,112.0,7.4,2.9,2.8,15.0,20.0 
1995,9.7,0.1,0.2,10.2,61.0,6.6,2.9,2.9,NaN,24.0 
1996,9.7,0.1,0.2,10.2,53.0,6.2,2.7,2.7,NaN,23.0 
1997,9.7,0.1,0.2,10.2,65.0,7.2,2.2,2.5,NaN,24.0 
1998,9.7,0.1,0.2,10.2,67.0,7.6,3.4,3.5,NaN,NaN 
1999,9.7,0.1,0.2,10.2,70.0,6.0,3.1,2.5,NaN,17.0 
2000,9.7,0.1,0.2,10.2,74.0,8.9,3.0,2.7,NaN,18.0 
2001,9.7,0.1,0.2,10.2,60.0,7.1,2.7,2.6,NaN,20.0 
2002,9.7,0.1,0.2,10.2,75.0,8.6,3.2,2.8,NaN,21.0 
2003,9.7,0.1,0.2,10.2,82.0,7.9,2.6,2.5,NaN,21.0 
2004,9.7,0.1,0.2,10.2,53.0,7.4,3.0,2.8,NaN,21.0 
2005,9.7,0.1,0.2,10.2,53.0,8.8,3.1,3.3,NaN,20.0 
2006,9.7,0.1,0.2,10.2,78.0,2.1,3.4,3.0,NaN,21.0 
2007,9.7,0.1,0.2,10.2,169.0,NaN,2.8,2.2,NaN,18.0 
2008,9.7,0.1,0.2,10.2,61.0,7.3,2.1,1.8,NaN,25.0 
2009,9.7,0.1,0.2,10.2,119.0,7.0,2.5,2.2,NaN,19.0 
2010,9.7,0.1,0.2,10.2,134.0,NaN,3.1,3.0,NaN,21.0 
2011,9.7,0.1,0.2,10.2,70.0,6.7,3.0,2.9,NaN,18.0 
2012,9.7,0.1,0.2,10.2,90.0,6.5,NaN,NaN,NaN,NaN 
2013,9.7,0.1,0.2,10.2,89.0,6.9,NaN,NaN,NaN,NaN 
2014,9.7,0.1,0.2,10.2,71.0,7.1,NaN,NaN,NaN,NaN 
2015,9.7,0.1,0.2,10.2,82.0,6.5,NaN,NaN,NaN,NaN 
2016,9.7,0.1,0.2,10.2,56.0,8.5,2.9,3.2,NaN,20.0 
2017,9.7,0.1,0.2,10.2,70.0,7.9,2.7,3.1,NaN,23.0 
2018,9.7,0.1,0.2,10.2,84.0,7.0,NaN,NaN,NaN,NaN 
2019,9.7,0.1,0.2,10.2,72.0,7.5,NaN,NaN,NaN,NaN 
2020,9.7,0.1,0.2,10.2,82.0,7.9,NaN,NaN,NaN,NaN 
2021,9.7,0.1,0.2,10.2,76.0,7.0,NaN,NaN,NaN,NaN 
2022,9.7,0.1,0.2,10.2,99.0,7.5,NaN,NaN,NaN,NaN 
2023,9.7,0.1,0.2,10.2,120.0,7.6,NaN,NaN,NaN,NaN 
2024,9.7,0.1,0.2,10.2,110.0,6.9,NaN,NaN,NaN,NaN 
1991,25.3,0.3,1.0,7.7,NaN,NaN,2.9,3.3,NaN,28.0 
1992,25.3,0.3,1.0,7.7,148.0,NaN,2.6,2.6,15.0,21.0 
1993,25.3,0.3,1.0,7.7,106.0,5.4,2.8,2.5,NaN,21.0 
1994,25.3,0.3,1.0,7.7,80.0,5.7,2.1,2.6,14.0,27.0 
1995,25.3,0.3,1.0,7.7,75.0,5.5,2.1,2.7,NaN,30.0 
1996,25.3,0.3,1.0,7.7,87.0,6.0,2.4,2.5,NaN,23.0 
1997,25.3,0.3,1.0,7.7,86.0,7.2,2.3,2.8,NaN,28.0 
1998,25.3,0.3,1.0,7.7,147.0,6.5,2.8,2.9,NaN,19.0 
1999,25.3,0.3,1.0,7.7,56.0,6.0,2.0,2.3,13.0,19.0 
2000,25.3,0.3,1.0,7.7,67.0,NaN,2.3,2.3,NaN,30.0 
2001,25.3,0.3,1.0,7.7,62.0,6.0,2.2,1.8,NaN,21.0 
2002,25.3,0.3,1.0,7.7,72.0,5.9,2.5,2.1,11.0,20.0 
2003,25.3,0.3,1.0,7.7,80.0,5.5,NaN,NaN,NaN,NaN 
2004,25.3,0.3,1.0,7.7,77.0,6.9,NaN,NaN,NaN,NaN 
2005,25.3,0.3,1.0,7.7,82.0,7.6,NaN,NaN,NaN,NaN 
2006,25.3,0.3,1.0,7.7,35.0,5.4,NaN,NaN,NaN,NaN 
2007,25.3,0.3,1.0,7.7,82.0,NaN,NaN,NaN,NaN,NaN 
2008,25.3,0.3,1.0,7.7,55.0,6.2,NaN,NaN,NaN,NaN 
2009,25.3,0.3,1.0,7.7,118.0,NaN,NaN,NaN,NaN,NaN 
2010,25.3,0.3,1.0,7.7,NaN,NaN,1.5,NaN,NaN,16.0 
2011,25.3,0.3,1.0,7.7,213.0,9.3,1.9,1.8,NaN,NaN 
2012,25.3,0.3,1.0,7.7,110.0,6.6,1.5,1.6,13.0,29.0 
2013,25.3,0.3,1.0,7.7,71.0,6.6,1.0,1.2,NaN,28.0 
2014,25.3,0.3,1.0,7.7,100.0,8.4,0.8,0.9,NaN,30.0 
2015,25.3,0.3,1.0,7.7,130.0,7.2,1.2,2.7,NaN,26.0 
2016,25.3,0.3,1.0,7.7,150.0,8.4,1.2,1.3,NaN,28.0 
2017,25.3,0.3,1.0,7.7,140.0,7.6,NaN,NaN,NaN,NaN 
2018,25.3,0.3,1.0,7.7,160.0,8.5,NaN,NaN,NaN,NaN 
2019,25.3,0.3,1.0,7.7,84.0,7.8,NaN,NaN,NaN,NaN 
2020,25.3,0.3,1.0,7.7,120.0,7.4,NaN,NaN,NaN,NaN 
2021,25.3,0.3,1.0,7.7,77.0,7.4,NaN,NaN,NaN,NaN 
2022,25.3,0.3,1.0,7.7,120.0,7.6,NaN,NaN,NaN,NaN 
2023,25.3,0.3,1.0,7.7,79.0,7.6,NaN,NaN,NaN,NaN 
2024,25.3,0.3,1.0,7.7,110.0,6.4,NaN,NaN,NaN,NaN 
